Item,Brand,Discount,Price,Limit,Valid From,Valid To,Source
"The April 2025 Coupon Book has a few exciting deals this month! First of all, the Kerrygold Pure Irish Butter yearly sale is back! This is the time Costco members will stock up and freeze a bunch to last them throughout the year. At $3.90 off it’s quite a deal! The Woozoo fan has been extremely popular with Costco members for a long time, so if you’ve held off for the last few years, this might just be the time to cave in at $10 off! We’ve never tried the Royal Asia Prawn Hacao, but keep hearing great things about them. At $4 off we’re going to be awfully tempted. The April tire coupon has switched back to Michelin and is $40 off a set $899.99 or less and $60 off a set $900.00 or more.",The,$3.90,$3.90,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
Woozoo 5-Speed Globe Fan $38.99 – $10 off = $28.99,Woozoo,$10,$38.99,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
80V 21″ Brushless Self-Propelled Mower $599.99 – $100 off = $499.99,,$100,$599.99,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
80V 17″ Brushless String Trimmer $249.99 – $50 off = $199.99,,$50,$249.99,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
80V 800 CFM Brushless Jet Blower $279.99 – $50 off = $229.99,,$50,$279.99,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
Huggies Plus Little Snugglers Diapers $39.99 – $10 off = $29.99,Huggies,$10,$39.99,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
Orgain Organic Protein + Superfoods Protein Powder $33.00 – $8 off = $25.99,Orgain,$8,$33.00,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
St Michel French Cookie Collection $3 off,St,$3,,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
Kerrygold Pure Irish Butter Salted or Unsalted $3.90 off,Kerrygold,$3.90,$3.90,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
Royal Asia Prawn Hacao with Soy Ginger Sauce $4 off,Royal,$4,,,,,https://www.costcoinsider.com/costco-april-2025-coupon-book/
